"email","city","state"
"jarcy.geliza625364@gmail.com","LAGOA SANTA","MG"
"apolonho.duarte791362@gmail.com","ITURAMA","MG"
"adarico.lauricio743770@gmail.com","ESMERALDAS","MG"
"ivonilza.adeangela573562@gmail.com","BELO HORIZONTE","MG"
"florisbela.duarte891930@gmail.com","NOVA MUTUM","MT"
"diuvana.jenoel999900@gmail.com","ITABIRITO","MG"
"railande.jesina696390@gmail.com","ESMERALDAS","MG"
"denildo.deusinaldo285536@gmail.com","CAMPESTRE","MG"
"esterlania.duarte436190@gmail.com","BETIM","MG"
"uenden.lauricio499620@gmail.com","ESMERALDAS","MG"
"nislane.jice020814@gmail.com","SÃO SEBASTIÃO DO PARAÍSO","MG"
"nilsirene.adeildo147348@gmail.com","CONTAGEM","MG"
"jonaldo.dilvanete840520@gmail.com","SETE LAGOAS","MG"
"cleudis.catari647678@gmail.com","CONTAGEM","MG"
"tanubia.duarte876826@gmail.com","BELO HORIZONTE","MG"
"ozana.eliziana402528@gmail.com","MACHADO","MG"
"uelde.duarte440642@gmail.com","ALFENAS","MG"
"reidison.duarte283324@gmail.com","BELO HORIZONTE","MG"
"simonides.ivna522846@gmail.com","BELO HORIZONTE","MG"
"trycia.lauricio971816@gmail.com","POÇOS DE CALDAS","MG"
"cleuziane.genai842414@gmail.com","NOVA RESENDE","MG"
"isailda.marthus054280@gmail.com","PLANURA","MG"
"suyla.francilu777248@gmail.com","PERDIZES","MG"
"antino.antonira005962@gmail.com","CONTAGEM","MG"
"lys.genai778066@gmail.com","UBERABA","MG"
"raiame.raynanda683974@gmail.com","IBIRITÉ","MG"
"iveta.sharom111658@gmail.com","MÁRIO CAMPOS","MG"
"myke.duarte805874@gmail.com","PIUMHI","MG"
"ceberson.francilu379884@gmail.com","ITURAMA","MG"
"viviene.dhiemeson505406@gmail.com","CUIABÁ","MT"
"suyla.cleucivania819340@gmail.com","BETIM","MG"
"laurisia.uvanderson619646@gmail.com","POÇOS DE CALDAS","MG"
"valmi.genai006962@gmail.com","RIBEIRÃO DAS NEVES","MG"
"adejailma.duarte246932@gmail.com","UBERLÂNDIA","MG"
"nelcila.niles421380@gmail.com","CONTAGEM","MG"
"laurisia.francielli754368@gmail.com","BELO HORIZONTE","MG"
"nobuhiro.genai618668@gmail.com","RIBEIRÃO DAS NEVES","MG"
"ermi.ercina988310@gmail.com","SANTA LUZIA","MG"
"reika.gersineide779016@gmail.com","MARIANA","MG"
"lussara.gemile967224@gmail.com","JUIZ DE FORA","MG"
"franciberto.duarte914754@gmail.com","CAMPO FLORIDO","MG"
"niltiane.francilu472798@gmail.com","GAÚCHA DO NORTE","MT"
"lindecir.lauricio395362@gmail.com","ITABIRITO","MG"
"lionira.dionario697814@gmail.com","MÁRIO CAMPOS","MG"
"ledenilson.duarte720978@gmail.com","OLÍMPIO NORONHA","MG"
"dheimisom.duarte118876@gmail.com","BELO HORIZONTE","MG"
"ivonelia.lauricio116076@gmail.com","SÃO JOAQUIM DE BICAS","MG"
"evaldson.duarte976878@gmail.com","SANTA LUZIA","MG"
"evaldson.joeber003094@gmail.com","VÁRZEA GRANDE","MT"
"degivan.elnira479792@gmail.com","ILICÍNEA","MG"
"sheylla.estalin141294@gmail.com","IGARAPÉ","MG"
"gelian.gedeilton286390@gmail.com","BELO HORIZONTE","MG"
"jonieli.shenia009118@gmail.com","BRUMADINHO","MG"
"nacir.luzidete376982@gmail.com","CONTAGEM","MG"
"laudiseia.lauricio149382@gmail.com","BELO HORIZONTE","MG"
"keylle.reginan627576@gmail.com","RIBEIRÃO DAS NEVES","MG"
"rosenilson.areci795770@gmail.com","POÇOS DE CALDAS","MG"
"dalmar.luzinha257438@gmail.com","CUIABÁ","MT"
"maruana.deusomar262318@gmail.com","BELO HORIZONTE","MG"
"jemenson.lauricio690118@gmail.com","UBERABA","MG"
"izalene.duarte541912@gmail.com","BELO HORIZONTE","MG"
"liia.duarte032208@gmail.com","BELO HORIZONTE","MG"
"adarico.raguel359354@gmail.com","MONTE CARMELO","MG"
"clevandira.deusivania274658@gmail.com","BELO HORIZONTE","MG"
"sino.lauricio371106@gmail.com","SÃO LOURENÇO","MG"
"cielia.jesina140740@gmail.com","NOVA LIMA","MG"
"raiki.antonira274618@gmail.com","BELO HORIZONTE","MG"
"zenildes.neito991684@gmail.com","CONTAGEM","MG"
"esterfeson.aradia757540@gmail.com","SANTA LUZIA","MG"
"celcino.nabor308286@gmail.com","SENHORA DO PORTO","MG"
"dalmar.areci944166@gmail.com","FRUTAL","MG"
"rosenldo.lauricio683258@gmail.com","PASSOS","MG"
"neidival.adcelia115178@gmail.com","UBERABA","MG"
"sheylla.jeovanio485970@gmail.com","CONTAGEM","MG"
"dalmar.livingstone736640@gmail.com","RIBEIRÃO DAS NEVES","MG"
"dalzirene.argulino233512@gmail.com","RIBEIRÃO DAS NEVES","MG"
"laiso.geliza460714@gmail.com","PAINS","MG"
"adirton.dhiemeson362822@gmail.com","PRATÁPOLIS","MG"
"ericris.luzinele387654@gmail.com","PRATA","MG"
"laurecy.carmenia100452@gmail.com","CAMPO FLORIDO","MG"
"lionira.genai355366@gmail.com","RESENDE COSTA","MG"
"nelivania.constance631850@gmail.com","BELO HORIZONTE","MG"
"albetania.evanucia674116@gmail.com","PASSOS","MG"
"sidonio.idines134350@gmail.com","BELO HORIZONTE","MG"
"idamir.marthus852822@gmail.com","BETIM","MG"
"neidilson.willien509852@gmail.com","BELO HORIZONTE","MG"
"izanir.areci458600@gmail.com","ESMERALDAS","MG"
"kleide.gileadi863118@gmail.com","MADRE DE DEUS DE MINAS","MG"
"evaldson.mercinda251378@gmail.com","SABARÁ","MG"
"mocyr.edisandra406596@gmail.com","CONTAGEM","MG"
"jonieli.eliziana809434@gmail.com","NANUQUE","MG"
"taelise.lauricio383712@gmail.com","JACIARA","MT"
"iyan.adeangela998328@gmail.com","SABARÁ","MG"
"raisom.duarte284044@gmail.com","BELO HORIZONTE","MG"
"ralfy.lauricio336800@gmail.com","PATOS DE MINAS","MG"
"alaim.lauricio522450@gmail.com","BELO HORIZONTE","MG"
"elydiane.duarte681762@gmail.com","CAETÉ","MG"
"alanes.vadeci584504@gmail.com","RIBEIRÃO DAS NEVES","MG"
"francinele.rafani288732@gmail.com","RIBEIRÃO DAS NEVES","MG"
"cleuziane.deusenita438124@gmail.com","UBERABA","MG"
"jandicleide.bernevaldo326984@gmail.com","BELO HORIZONTE","MG"
"albetania.francilu880930@gmail.com","POÇOS DE CALDAS","MG"
"cidclei.antonilsa967376@gmail.com","BELO HORIZONTE","MG"
"jaislene.kallio427928@gmail.com","SÃO JOSÉ DOS QUATRO MARCOS","MT"
"rosenilva.marilisi214618@gmail.com","SANTA BÁRBARA","MG"
"cleunira.deusivania442874@gmail.com","TRÊS CORAÇÕES","MG"
"klenilton.nabeli651002@gmail.com","BETIM","MG"
"estevita.lauricio204694@gmail.com","POUSO ALEGRE","MG"
"evaldson.geliza256714@gmail.com","PONTE NOVA","MG"
"shirlea.duarte650932@gmail.com","POÇOS DE CALDAS","MG"
"narlon.jidiane718758@gmail.com","BELO HORIZONTE","MG"
"ciaria.jarbson102714@gmail.com","UBERABA","MG"
"nelzo.cleslei887610@gmail.com","BELO HORIZONTE","MG"
"dalmar.genai326012@gmail.com","ESPÍRITO SANTO DO DOURADO","MG"
"nobuhiro.ramiele471620@gmail.com","MONTES CLAROS","MG"
"jeneroso.beronice706878@gmail.com","BELO HORIZONTE","MG"
"clobson.lauricio292158@gmail.com","POMPÉU","MG"
"adeize.lauricio082172@gmail.com","UBERABA","MG"
"ermi.areci352142@gmail.com","BRUMADINHO","MG"
"elizom.lorrene310956@gmail.com","UBERABA","MG"
"shizuyo.duarte359338@gmail.com","EXTREMA","MG"
"marsilio.hendryck684872@gmail.com","POÇOS DE CALDAS","MG"
"viviene.duarte607766@gmail.com","PARÁ DE MINAS","MG"
"nisael.duarte067048@gmail.com","BELO HORIZONTE","MG"
"adonaide.dhiemeson907680@gmail.com","CONTAGEM","MG"
"ciciliano.genai191208@gmail.com","RIBEIRÃO DAS NEVES","MG"
"cleudis.arliton789936@gmail.com","CAXAMBU","MG"
"esterlania.areci367402@gmail.com","BELO HORIZONTE","MG"
"nilco.lauricio679904@gmail.com","BELO HORIZONTE","MG"
"iure.rigoberto644620@gmail.com","CONTAGEM","MG"
"lionira.ulio947354@gmail.com","BELO HORIZONTE","MG"
"evilane.francilu025794@gmail.com","BELO HORIZONTE","MG"
"elliene.francilu000322@gmail.com","BETIM","MG"
"ivonides.areci389118@gmail.com","POUSO ALEGRE","MG"
"nisael.fracisca741840@gmail.com","SETE LAGOAS","MG"
"elizom.geocimar785798@gmail.com","BELO HORIZONTE","MG"
"nassara.waldicea903378@gmail.com","BELO HORIZONTE","MG"
"jeneilson.nabor745862@gmail.com","ILICÍNEA","MG"
"odenil.adeildo165572@gmail.com","CONTAGEM","MG"
"kelvym.lauricio123396@gmail.com","SARZEDO","MG"
"samia.anabi820884@gmail.com","SANTA JULIANA","MG"
"denisom.duarte926512@gmail.com","NOVA RESENDE","MG"
"sheylla.jonemar602364@gmail.com","POXORÉU","MT"
"zelanda.francilu639682@gmail.com","BETIM","MG"
"euzileia.livrada362998@gmail.com","LAGOA SANTA","MG"
"elizaura.hendryck392666@gmail.com","FLORESTAL","MG"
"cecily.luzidete487444@gmail.com","VESPASIANO","MG"
